,Unnamed: 0,title,authors,journal,year,abstract,Relevance_Score
78,78,What Quality of Care Means? Exploring Clinical Nurses’ Perceptions on the Concept of Quality Care: A Qualitative Study,"A. Stavropoulou, Michael Rovithis, M. Kelesi",Clinics and Practice,2022,"Quality is a multidimensional issue involving various features that depend on service performance and personal assessment. Clarifying the concept of quality is essential in order to further facilitate the understanding and improvement of quality in healthcare. The purpose of this study was to investigate how clinical nurses, providing care to adult medical patients, perceive and define the concept of quality nursing care. A descriptive qualitative research design was applied. A purposive sampling strategy was used to recruit nurses from the clinical sector of a general public hospital in Athens, Greece. Ten female nurses from the medical sector participated the study. Data collection was conducted through in-depth, semi-structured interviews. Conventional content analysis was used to analyze the verbatim data. Four categories were revealed from the data analysis, namely: (a) “Quality care is holistic care”, (b) “Good care is an interpersonal issue”, (c) “Leadership is crucial”, and (d) “Best care is our responsibility”. Quality care was defined as holistic care, addressing all patient needs with competency and aiming for the best patient outcomes. It was associated with communication, teamwork, good leadership, and personal commitment. By developing an in-depth and mutual understanding about what quality means, nurse leaders and practitioners may collaborate in finding common paths to support quality interventions and enhance quality nursing care in clinical practice.",0.09550974005577184
79,79,Impact of hospital accreditation on quality improvement in healthcare: A systematic review,"Mohammad J Alhawajreh, Audrey S Paterson, William J Jackson · Dec 5, 202",PLOS ONE,2023,"Objective This is the first systematic review aims to build the evidence for the impact of accreditation on quality improvement of healthcare services, as well as identify and develop an understanding of the contextual factors influencing accreditation implementation in the hospital setting through the lens of Normalisation Process Theory (NPT). Data sources Data were gathered from five databases; MEDLINE, PUBMED, EMBASE, CINAHL, and the Cochrane Library. And supplemental sources. Study design This systematic review is reported following PRISMA guidelines with a quality assessment. Data were analysed using a thematic analysis guided by the NPT theoretical framework. Data collection/extraction methods Data were extracted and summarized using prespecified inclusion/exclusion criteria and a data extraction sheet encompassing all necessary information about the studies included in the review. Principal findings There are inconsistent findings about the impact of accreditation on improving healthcare quality and outcomes, and there is scant evidence about its effectiveness. The findings also provide valuable insights into the key factors that may influence hospital accreditation implementation and develop a better understanding of their potential implications. Using the NPT shows a growing emphasis on the enactment work of the accreditation process and how this may drive improving the quality of healthcare services. However, little focus is given to accreditation’s effects on health professionals’ roles and responsibilities, strategies and ways for engaging health professionals for effective implementation, and ensuring that the goals and potential benefits of accreditation are made clear and transparent through ongoing evaluation and feedback to all health professionals involved in the accreditation process. Conclusions While there are contradictory findings about the impact of accreditation on improving the quality of healthcare services, accreditation continues to gain acceptance internationally as a quality assurance tool to support best practices in evaluating the quality outcomes of healthcare delivered. Policymakers, healthcare organisations, and researchers should proactively consider a set of key factors for the future implementation of accreditation programmes if they are to be effectively implemented and sustained within the hospital setting. Systematic review registration: International Prospective Register of Systematic Reviews PROSPERO 2020 CRD42020172390 Available from: https://www.crd.york.ac.uk/PROSPERO/display_record.php?RecordID=172390.",0.0
80,80,Model for building quality resilient health facility,"E. Otchi, Nhyira Gyawu, Gilbert Buckle · Dec 1, 202",Frontiers in Public Health,2023,"The AfIHQSA Model is the model for building quality resilient health systems. It is proposed as a compliment to and in many instances as an alternative to the many other existing in ensuring a systematic and a sustained approach to improving outcomes in African health systems. It seeks to bring the necessary transformation to healthcare quality and patient safety and facilitate the attainment of desired outcomes. The model is unique in its iterative nature and how it places premium on sustaining the gains of improvement. The authors are concerned about the lack of sustainability of the many quality improvement efforts on the continent and how they all fade out into obscurity upon the exit of the proponents. Six iterative steps are proposed in the use of the model and these are: leadership commitment and buy-in; situational analysis of quality management capacity; systems strengthening for quality management; quality improvement interventions for care outcomes; standardization/accreditation/certification; and iterative monitoring, evaluation of performance of interventions and learning. Most of the quality interventions and efforts on the continent have failed because the steps in this model have not been sufficiently followed and addressed. The required strengthening of the various components of the health system necessary to sufficiently bear the weight of any quality intervention and guarantee sustainability of the gains is often ignored. As authors, we have therefore formally adopted the use of this model and plan to further continue evaluating and monitoring its utility and its generalizability in different institutions and countries.",0.0
81,81,Editorial: Health-related quality of life in health care,"S. Kharroubi, I. Elbarazi · Feb 2, 202",Frontiers in Public Health,2023,"COPYRIGHT © 2023 Kharroubi and Elbarazi. This is an open-access article distributed under the terms of the Creative Commons Attribution License (CC BY). The use, distribution or reproduction in other forums is permitted, provided the original author(s) and the copyright owner(s) are credited and that the original publication in this journal is cited, in accordance with accepted academic practice. No use, distribution or reproduction is permitted which does not comply with these terms. Editorial: Health-related quality of life in health care",0.0
82,82,Mobile Health Apps for Breast Cancer: Content Analysis and Quality Assessment,"S. Yang, Cam Nhung Bui, Kyounghoon Park · Oct 14, 202",JMIR mHealth and uHealth,2022,"Background The number of mobile health apps is rapidly increasing. This means that consumers are faced with a bewildering array of choices, and finding the benefit of such apps may be challenging. The significant international burden of breast cancer (BC) and the potential of mobile health apps to improve medical and public health practices mean that such apps will likely be important because of their functionalities in daily life. As the app market has grown exponentially, several review studies have scrutinized cancer- or BC-related apps. However, those reviews concentrated on the availability of the apps and relied on user ratings to decide on app quality. To minimize subjectivity in quality assessment, quantitative methods to assess BC-related apps are required. Objective The purpose of this study is to analyze the content and quality of BC-related apps to provide useful information for end users and clinicians. Methods Based on a stepwise systematic approach, we analyzed apps related to BC, including those related to prevention, detection, treatment, and survivor support. We used the keywords “breast cancer” in English and Korean to identify commercially available apps in the Google Play and App Store. The apps were then independently evaluated by 2 investigators to determine their eligibility for inclusion. The content and quality of the apps were analyzed using objective frameworks and the Mobile App Rating Scale (MARS), respectively. Results The initial search identified 1148 apps, 69 (6%) of which were included. Most BC-related apps provided information, and some recorded patient-generated health data, provided psychological support, and assisted with medication management. The Kendall coefficient of concordance between the raters was 0.91 (P<.001). The mean MARS score (range: 1-5) of the apps was 3.31 (SD 0.67; range: 1.94-4.53). Among the 5 individual dimensions, functionality had the highest mean score (4.37, SD 0.42) followed by aesthetics (3.74, SD 1.14). Apps that only provided information on BC prevention or management of its risk factors had lower MARS scores than those that recorded medical data or patient-generated health data. Apps that were developed >2 years ago, or by individuals, had significantly lower MARS scores compared to other apps (P<.001). Conclusions The quality of BC-related apps was generally acceptable according to the MARS, but the gaps between the highest- and lowest-rated apps were large. In addition, apps using personalized data were of higher quality than those merely giving related information, especially after treatment in the cancer care continuum. We also found that apps that had been updated within 1 year and developed by private companies had higher MARS scores. This may imply that there are criteria for end users and clinicians to help choose the right apps for better clinical outcomes.",0.03928076294275976
83,83,Quality of life among health care workers in Arab countries 2 years after COVID-19 pandemic,"R. Ghazy, Osman Abubakar Fiidow, F. Abdullah",Frontiers in Public Health,2022,"Background Assessment of the quality of life (QoL) among healthcare workers (HCWs) is vital for better healthcare and is an essential indicator for competent health service delivery. Since the coronavirus disease 2019 (COVID-19) pandemic strike, the frontline position of HCWs subjected them to tremendous mental and psychological burden with a high risk of virus acquisition. Aim This study evaluated the QoL and its influencing factors among HCWs residing in the Arab countries. Methods This was a cross-sectional study using a self-administered online questionnaire based on the World Health Organization QoL-BREF instrument with additional questions related to COVID-19. The study was conducted in three different languages (Arabic, English, and French) across 19 Arab countries between February 22 and March 24, 2022. Results A total of 3,170 HCWs were included in the survey. The majority were females (75.3%), aged 18–40 years (76.4%), urban residents (90.4%), married (54.5%), and were living in middle-income countries (72.0%). The mean scores of general health and general QoL were 3.7 ± 1.0 and 3.7 ± 0.9, respectively. Those who attained average physical, psychological, social, and environmental QoL were 40.8, 15.4, 26.2, and 22.3%, respectively. The income per capita and country income affected the mean scores of all QoL domains. Previous COVID-19 infection, having relatives who died of COVID-19, and being vaccinated against COVID-19 significantly affected the mean scores of different domains. Conclusion A large proportion of the Arab HCWs evaluated in this study had an overall poor QoL. More attention should be directed to this vulnerable group to ensure their productivity and service provision.",0.0
84,84,Employee Engagement in Quality Improvement and Patient Sociodemographic Characteristics in Federally Qualified Health Centers,"Olivia S. Jung, Janet R. Cummings · Aug 24, 202",Medical Care Research and Review,2022,"Quality improvement (QI) work is critical, particularly in federally qualified health centers (FQHCs) that treat underserved populations. In a national sample of 45 FQHCs, we examined how patients’ sociodemographic characteristics were associated with employee engagement in QI, via innovation contests that solicited ideas for improving care and offered opportunities to vote on ideas. We posited that patients’ sociodemographic characteristics influence the complexity and intensity of clinical work and thus employees’ capacity to engage in QI. Regression results indicated that the percentage of patients living in poverty was negatively associated with employee participation in idea submission and voting. Moreover, the percentage of Hispanic patients was negatively associated with participation in voting. The percentage of Black patients, however, was not associated with either outcome. FQHCs that serve a higher share of low income and/or Hispanic patients may face resource and personnel constraints that reduce employees’ capacity to contribute to QI efforts.",0.0
85,85,Purchasing for high-quality care using National Health Insurance: evidence from Zambia,"Doris Afriyie Osei, F. Masiye, F. Tediosi",Health Policy and Planning,2023,"Abstract Improving the quality of care is essential for progress towards universal health coverage. Health financing arrangements offer opportunities for governments to incentivize and reward improvements in the quality of care provided. This study examines the extent to which the purchasing arrangements established within Zambia’s new National Health Insurance can improve equitable access to high-quality care. We adopt the Strategic Purchasing Progress and the Lancet Commission for High-Quality Health Systems frameworks to critically examine the broader health system and the purchasing dimensions of this insurance scheme and its implications for quality care. We reviewed policy documents and conducted 31 key-informant interviews with stakeholders at national, subnational and health facility levels. We find that the new health insurance could boost financial resources in higher levels of care, improve access to high-cost interventions, improve care experiences for its beneficiaries and integrate the public and private sectors. Our findings also suggest that health insurance will likely improve some aspects of structural quality but may not be able to influence process and outcome measures of quality. It is also not clear if health insurance will improve the efficiency of service delivery and whether the benefits realized will be distributed equitably. These potential limitations are attributable to the existing governance and financial challenges, low investments in primary care and shortcomings in the design and implementation of the purchasing arrangements of health insurance. Although Zambia has made progress in a short span, there is a need to improve its provider payment mechanisms, and monitoring and accounting for a higher quality of care.",0.0
86,86,How Is Quality of mHealth Interventions for Cancer Survivors Defined and Described? An Umbrella Review,"T. Tune, Shaun Goh, P. Williams",JCO Clinical Cancer Informatics,2022,"PURPOSE Although there are commonly accepted criteria of what defines quality of health care including cancer care, less is known about what defines quality of mHealth interventions in health care. The aim of this review was to identify how quality of mHealth interventions for cancer survivors is described and measured. METHODS CINAHL, EmCare, JBI, Medline, SCOPUS, and ProQuest databases from January 2008 to January 2020 were searched. Review papers with search terms related to mobile devices, quality, and cancer relevant to adults with cancer were included. Interventions needed to consist of mHealth technologies, such as mobile applications or short message service, or wearable devices. Title and abstract screening, full-text screening, and data extraction were performed independently by two reviewers. Conflicts were resolved by a third reviewer. Reviews were evaluated for coverage of quality according to six metrics defined by the Institute of Medicine: patient-centeredness, equitability, safety, effectiveness, timeliness, and efficiency. Any additional quality items were recorded. A Measurement Tool to Assess systematic Reviews (AMSTAR) was used to rate the quality of the reviews included. RESULTS The initial search yielded 766 papers with seven systematic reviews meeting the eligibility criteria. Four papers were of AMSTAR moderate quality, with three of low quality. The median number of quality metrics reported in a review was two (the range was 1-4). Efficacy and safety and timeliness and efficiency were most reported (n = 4), followed by usability (n = 3), equitability and access (n = 2), privacy and security (n = 2), and patient-centeredness (n = 2). CONCLUSION There is great variability in how quality of mHealth interventions is defined with no reviews addressing all quality metrics. A comprehensive approach to measure quality of mHealth interventions is needed. Quality metrics of mHealth interventions for cancer survivors: variable and limited—standards needed",0.0
87,87,Exploring the Role of 6G Technology in Enhancing Quality of Experience for m-Health Multimedia Applications: A Comprehensive Survey,"Moustafa M. Nasralla, Sohaib Bin Altaf Khattak, I. Rehman","Sensors (Basel, Switzerland)",2023,"Mobile-health (m-health) is described as the application of medical sensors and mobile computing to the healthcare provision. While 5G networks can support a variety of m-health services, applications such as telesurgery, holographic communications, and augmented/virtual reality are already emphasizing their limitations. These limitations apply to both the Quality of Service (QoS) and the Quality of Experience (QoE). However, 6G mobile networks are predicted to proliferate over the next decade in order to solve these limitations, enabling high QoS and QoE. Currently, academia and industry are concentrating their efforts on the 6G network, which is expected to be the next major game-changer in the telecom industry and will significantly impact all other related verticals. The exponential growth of m-health multimedia traffic (e.g., audio, video, and images) creates additional challenges for service providers in delivering a suitable QoE to their customers. As QoS is insufficient to represent the expectations of m-health end-users, the QoE of the services is critical. In recent years, QoE has attracted considerable attention and has established itself as a critical component of network service and operation evaluation. This article aims to provide the first thorough survey on a promising research subject that exists at the intersection of two well-established domains, i.e., QoE and m-health, and is driven by the continuing efforts to define 6G. This survey, in particular, creates a link between these two seemingly distinct domains by identifying and discussing the role of 6G in m-health applications from a QoE viewpoint. We start by exploring the vital role of QoE in m-health multimedia transmission. Moreover, we examine how m-health and QoE have evolved over the cellular network’s generations and then shed light on several critical 6G technologies that are projected to enable future m-health services and improve QoE, including reconfigurable intelligent surfaces, extended radio communications, terahertz communications, enormous ultra-reliable and low-latency communications, and blockchain. In contrast to earlier survey papers on the subject, we present an in-depth assessment of the functions of 6G in a variety of anticipated m-health applications via QoE. Multiple 6G-enabled m-health multimedia applications are reviewed, and various use cases are illustrated to demonstrate how 6G-enabled m-health applications are transforming human life. Finally, we discuss some of the intriguing research challenges associated with burgeoning multimedia m-health applications.",0.024036353435959956
88,88,Diet quality indexes for use during pregnancy: a scoping review.,"L. Robb, Gina Joubert, Corinna May Walsh · Oct 27, 202",Nutrition reviews,2023,"AIMS
High diet quality is related to better health outcomes in general. During pregnancy, a high-quality diet is of paramount importance to promote optimal maternal and neonatal outcomes. This is a scoping review of research available on diet quality indexes (DQIs) for use during pregnancy that summarizes the DQIs in terms of development, country of origin, population used, components, scoring and weighting of components, and evaluation. Furthermore, the DQIs are discussed narratively to inform and direct the development of improved and country-specific DQIs for pregnancy.


METHODS
The EBSCOhost database was used to identify English-language, peer-reviewed articles published between 2000 and 2023, from which 11 publications were identified that describe the development of pregnancy-specific DQIs. This review followed the Preferred Reporting Items for Systematic Reviews and Meta-Analyses Extension for Scoping Reviews model.


RESULTS
Almost all DQIs (n = 9 of 11) were developed in high-income countries, using dietary intake data from food frequency questionnaires. Several DQIs (n = 5 of 11) used the US Healthy Eating Index as basis and modified it in various ways. Almost all DQIs included both foods and nutrients as components (n = 9 of 11), with vegetables being the most commonly included component alone (n = 8 of 11) or combined with fruit (n = 2 of 11).


CONCLUSION
Because most DQIs were developed using dietary guidelines, recommendations, and dietary intake data from high-income countries, it is recommended that pregnancy-specific DQIs be developed and validated to reflect the nutrition guidelines for lower-income and culturally diverse countries.",0.0
89,89,"Health-related quality of life in high-cost, high-need populations.","L. Leininger, Marisa Tomaino, E. Meara · Jul 1, 202",The American journal of managed care,2023,"OBJECTIVES
To characterize patient-reported health and assess the psychometric performance of health-related quality of life (HRQOL) in high-cost, high-need (HCHN) populations.


STUDY DESIGN
Retrospective longitudinal study examining health care utilization, expenditures, and patient-reported health comparing a baseline (year 1) and follow-up year (year 2).


METHODS
The sample includes adults (n = 46,934) participating in the Medical Expenditure Panel Survey between 2011 and 2016. We estimated HRQOL for each sample member using the physical and mental health scales from the Medical Outcomes Study Short Form 12. We compared HRQOL stratified by HCHN, defined as patients whose baseline (year 1) demographics, utilization, and clinical characteristics predicted top decile health spending in year 2. Analyses assessed the validity, reliability, and responsiveness of physical and, separately, mental health scales.


RESULTS
Among HCHN adults, the physical health scale exhibited robust measure validity, reliability, and responsiveness across all age groups; the mental health scale did not. Mean physical health was 1.25 SDs lower in HCHN vs other patients (37.9 vs 51.0 on a 0-100 scale increasing in self-perceived health; pooled SD, 10.5). Regressions indicated that a 0.5-SD increase in year 1 physical health among HCHN adults predicted a 5-percentage-point (10%) decrease in the probability of top decile health spending in year 2. In contrast to health care spending, HRQOL did not exhibit reversion to the mean in HCHN patients.


CONCLUSIONS
Patient-reported health outcomes remain poor in HCHN populations, even after health care utilization recedes. HRQOL is a promising outcome measure for HCHN-focused payment and delivery interventions.",0.0659835211319587
90,90,Quality of life and self-perceived health of adolescents in Middle School,"Graziela Nunes Alfenas Fernandes, S. M. Lemos · Mar 18, 202",CoDAS,2022,"ABSTRACT Purpose Quality of life and self-perception of health are useful indicators for children and adolescents, as they are associated with objective and subjective states of health, including physical, cognitive, social, emotional, and environmental aspects. This study aims to characterize the adolescents at a Brazilian private financing school and to analyze the association between quality of life, health self-perception, and the sociodemographic profile. Methods This is a cross-sectional, observational study conducted with 124 elementary school students. The questionnaires of Characterization of the participants, Health Self-perception and Pediatric Quality of Life Inventory ™ (PedsQL™) were applied to the adolescents and, to the parents or guardians, the Brazil Economic Classification Criteria questionnaires and PedsQLTM. Results The majority of the participants were female, belonged to economy class A, declared to have excellent health self-perception, and attributed a good score for their health. The majority of parents and adolescents evaluated positively the physical, psychosocial, and overall quality of life dimensions. Having a positive health self-perception increased the chances of having a good quality of life and the increase of one year in age decreased the chances of the adolescent having a positive quality of life assessment. Conclusion The study of adolescence is essential to broaden the understanding of aspects related to the quality of life, both in its physical and psychosocial dimension and to self-perception. This knowledge will provide adolescents with an incentive for their well-being, better performance of their activities, and greater preparation for adult life.",0.0
91,91,Primary Health Institutions and Service Quality in China: Implications for Health Policy,"Junfang Xu, Yuyin Zhou, Ruyu Liu",International Journal of Environmental Research and Public Health,2022,"Background: To protect and improve the health of populations, the important role of primary health institutions has been strengthened through a series of health policies, especially the implementation of a national hierarchical diagnosis and treatment system. In this light, we aim to evaluate the development of primary health institutions between 2013, before the implementation of the hierarchical diagnosis and treatment system, and 2020 as well as people’s perception of the quality of primary healthcare services. Method: The national-level data (e.g., the numbers of primary health institutions, personnel, beds, visits, and hospitalizations) regarding primary health institutions were collected from the Health Statistics Yearbook, and the perceptions of the quality of primary healthcare services were collected by a web-based questionnaire survey using an internationally recognized assessment tool (i.e., PCAT-AE). In total, 10,850 persons were surveyed, and 10,419 participants were incorporated into the final analysis after removing invalid questionnaires. A descriptive statistical analysis (i.e., frequency and percentage) was used to analyze the national-level characteristics of primary health institutions and people’s perceptions of the quality of primary healthcare services. Moreover, a logistic regression model was used to analyze the factors influencing the perceptions of the quality of primary healthcare services. Results: From the macro perspective, the number of primary health institutions, beds, and personnel per 10 thousand residents slightly increased from 2013 to 2020, especially in the eastern and central areas. However, the average number of visits and the hospitalization rate in primary health institutions showed a decrease, especially in central and eastern areas. Among participants, 92.2% (9606/10,419) of them had previously sought healthcare services in primary health institutions, and most were seeking general outpatient services (57.06–63.45%), followed by medicine purchasing (16.49–21.51%), physical examinations (9.91–11.49%), preventive health services (5.11–6.48%), and hospitalization services (3.17–5.67%). The total perception scores on the quality of primary healthcare services reported by the participants were 26.19 and 27.00 for rural and urban areas, respectively, which accounted for 65.5% and 67.5% of the total score, respectively, and 26.62, 26.86, and 25.89 for the eastern, central, and western areas, respectively, with percentages of 66.6%, 67.2%, and 64.7%. The perception score on the quality among people contracted with a family doctor (29.83, 74.58%) was much higher than those who were not (25.25, 63.13%), and the difference was statistically significant (p < 0.001). Moreover, people who were female, married, had higher incomes, and were diagnosed with various diseases had better perceptions of the primary healthcare services compared to their counterparts (p < 0.05). Conclusion: Improvements were seen for primary health institutions, especially in terms of hardware resources such as beds and personnel. However, the service utilization in primary health institutions did not improve between 2013 and 2020. The perception score on the quality of primary healthcare was moderate to low in rural and urban as well as eastern, central, and western areas, but it was significantly higher among people contracted with a family doctor than those who were not. Therefore, it is important for policy makers to take or adjust measures focusing on quality improvement and increasing the service utilization in primary health institutions with good first contact, accessibility, continuity, comprehensiveness, and coordination, such as raising the enrollment rate of family doctors and promoting the provision of high-quality services.",0.0
92,92,Association between lifestyle behaviors and health-related quality of life among primary health care physicians in China: A cross-sectional study,"Yi-hao Lin, Yuankai Huang, Xiaoyu Xi · Mar 8, 202",Frontiers in Public Health,2023,"Background Primary health care (PHC) serves as the gatekeeper of health system and PHC physicians take on significant obligations to provide health care services in the pursuit of Universal Health Coverage (UHC). PHC physicians' health-related quality of life (HRQoL) can have a strong impact on patients, physicians and the health care system. Lifestyle interventions are found to be effective to improve HRQoL. The purpose of this study was to evaluate the association between lifestyle behaviors and HRQoL among PHC physicians, so that lifestyle intervention can be tailored by policy makers for health promotion. Methods A survey covering 31 provinces and administrative regions in China was conducted in 2020 using a stratified sampling strategy. Data on sociodemographic characteristics lifestyle behaviors and HRQoL were collected by a self-administered questionnaire. HRQoL was measured through EuroQol-five dimension-five level (EQ-5D-5L) instrument. A Tobit regression model was performed to evaluate the association between sociodemographic characteristics, lifestyle behaviors and HRQoL. Results Among 894 PHC physicians who completed the survey, Anxiety/Depression (AD) was the dimension with the most problems reported (18.1%). Regular daily routine (β = 0.025, 95%CI 0.004 to 0.045) and good sleep quality (β = 0.049, 95% CI = 0.029 to 0.069) were protective factors for HRQoL, while smoking (β = −0.027, 95% CI = −0.079 to −0.003) and frequency of eating breakfast (β = −0.041, 95%CI = −0.079 to −0.003) were negatively associated with HRQoL. Physical activity and alcohol drinking were not significantly associated with HRQoL. Conclusion These findings suggest that tailored interventions on daily routine, improving sleep quality, and tobacco control among PHC physicians may be effective strategies to improve their HRQoL.",0.0
93,93,Quality improvement as a statement of values,"K. Eva · Dec 8, 202",Medical Education,2022,"‘By striving to constantly do better, what we do is we send a message about values’. When I heard those words, despite now forgetting who voiced them, I heard angels sing. What better description could there be for the community of health professional education scholars this journal exists to serve? The imperfect (or lack of) predictability that defines education as a complex adaptive system, combined with the ‘wicked’ nature of the problems with which we grapple, makes it such that perfection is likely unattainable. It is enough to engender cynicism, to make some give up, and to ensure others never even try. It is also, however, an opportunity to model the engagement with learning that we expect of our trainees as they grow into health professionals. We preach about lifelong learning, about the importance of growth mindset, about adaptive models of expertise, about never treating competence as something that can be achieved full stop. What do we actually display though when we set our education policies, do the exact same thing year in and year out and resist efforts to bring new ideas forward with a dismissive ‘we can't’? Feasibility must always be a consideration and large organisations with large stakes should not change for the sake of change. Nor should changes be made without first accumulating a reasonable degree of relevant evidence. There is always room, however, for each and every one of us to ‘strive to constantly do better’. Nothing guarantees that every such effort will realise ‘better’, but core messages we can send about the values we wish to promote for health professionals derive from the effort itself, a willingness to fail and the strength to adapt that this field has come to epitomise. We cannot even guarantee that everyone will have the same perspective regarding what ‘better’ looks like, let alone how to get there, but by staying engaged in the dialogue, we increase the likelihood that better argumentation and, hence, clearer pathways will emerge. It is that spirit of continuous quality improvement that serves as the inspiration behind this year's State of the Science issue in Medical Education. Spearheaded by Janet Grant, Danette McKinley and Jack Boulet, the papers address philosophical questions pertaining to how quality is defined as well as practical questions pertaining to what role regulation plays in quality improvement, how particular aspects of curriculum and competence might strive towards enhancement and what quality improvement looks like when considering issues of equity, diversity and inclusion. This, of course, is just a sampling of ways in which the overarching principle of quality improvement ‘sends a message about values’, none of which should be treated as the final word on the matters addressed; such a mentality, after all, would not exactly align with the notion of continuous quality improvement. Each paper, however, offers valuable reminders of the gains that can be made when we think in terms of how to collectively get better rather than how to justify the status quo. For that, I speak on behalf of the authors, guest editors and myself by thanking our reviewers for their role in improving the quality of these offerings and the field as a whole.",0.024314775722940597
94,94,Game-Theory-Inspired Novel Mechanism for Assessing Healthcare Quality,"T. Ahanger, Munish Bhatia, A. Aljumah · Dec 15, 202",IEEE Internet of Things Journal,2022,"Healthcare is the most pivotal domain of every nation. With the sudden upraise of the COVID-19 pandemic, there has been a major concern for the healthcare industry to provide quality medical services to the common people. Vulnerable healthcare conditions have proven to be fatal for the patients. Conspicuously, it has become indispensable to assess the quality of healthcare services provided by the hospitals. The current article focuses on analyzing healthcare service quality delivered by the hospitals and healthcare centers. Specifically, the presented framework utilizes Internet of Things (IoT) technology to acquire real-time ambient data inside smart hospitals. The quantification of the healthcare service is performed using the Probability of Health Grade (PoHG) to classify data segments using the probabilistic Bayesian belief model. Furthermore, the temporal data abstraction is performed for the numerical analysis of healthcare service quality in terms of the health quality index (HQI). Finally, a 2-player game theory-inspired decision modeling is performed to analyze healthcare quality in a time-sensitive manner. The proposed framework is assessed using a simulated environment where 225325 data segments are analyzed. Results are compared with state-of-the-art techniques in which enhanced performance measures are registered in terms of classification efficacy (93.74%), decision-making efficiency [coefficient of determination (95%), accuracy (97.53%), mean square error (2.01%), and root mean square error (1.95%)], temporal delay (96.62 s), and reliability (91.58%).",0.041939725760614555
95,95,Factors Associated with Health-Related Quality of Life in Older Persons Residing in Nursing Homes,"A. Boström, T. Cederholm, G. Faxén-Irving",Journal of Multidisciplinary Healthcare,2022,"Purpose Health-related quality of life (HRQoL) is an important patient-related outcome for the assessment of interventions and treatments in older people. Understanding underlying mechanisms for HRQoL is crucial for improving care, rehabilitation and symptom relief. This study examined the associations between HRQoL and frailty, sarcopenia, dependence of ADL, physical function and nutritional status in older nursing home (NH) residents. Patients and Methods This is a cross-sectional study employing baseline data from the Older Person’s Exercise and Nutrition (OPEN) study. Residents ≥75 years and able to stand up from seated position, residing in eight nursing homes in Sweden, were recruited. The EuroQoL 5-dimension Questionnaire (EQ-5D-5L, 0–1) was used to assess HRQoL. For exposure, the FRAIL and SARC-F questionnaires, Bergs Balance Scale, Functional Independence Measure (FIM), and Mini Nutritional Assessment-Short Form (MNA-SF) were used, including chair-stand test, walking speed and some biochemical markers. Descriptive and inferential statistics including linear regression models were applied. Results Data from 113 residents (59% women, mean age 85 years) revealed a mean EQ-5D index of 0.76. After relevant adjustments, factors associated with low HRQoL were sarcopenia (p<0.001), cognitive function (p<0.001), dependence in ADL (p=0.002), low plasma-albumin (p=0.002) and impaired nutritional status (p=0.038). Conclusion This study displays evidence that modifiable conditions like sarcopenia and malnutrition are related to HRQoL in older NH residents. Such findings indicate a potential for physical exercise, including muscle training, and improved nutritional routines, including protein supplementation, to enhance nursing home care. Future studies, in larger NH populations, on exercise and nutrition for effects on HRQoL are needed.",0.0
96,96,"Quality in Medical Imaging and Radiation Oncology: Why we should care about it, measure it and constantly improve it","S. Vinod, S. Goergen · Mar 1, 202",Journal of Medical Imaging and Radiation Oncology,2022,"There is no single agreed definition of quality in healthcare, in part because of the huge range of settings within which care is delivered. However, there is agreement that quality care can be characterized by several different but interrelated concepts. In 2001, the Institute of Medicine defined six dimensions of healthcare quality: safety, effectiveness and appropriateness, patientcenteredness, timeliness and accessibility, efficiency, and equitability. These domains continue to underpin international definitions, interpretations, and frameworks, including the Australian Commission on Safety and Quality in Healthcare’s three pillars of healthcare quality: patient centeredness, care that is driven by information, and care that is organized by safety. The National Quality Board in the U.K. has updated its “Shared Commitment to Quality” document in 2021, emphasizing the domains of safety, effectiveness, patient centeredness, and equitability as key pillars of its framework, but adding leadership and financial sustainability of service delivery to these pillars. New emphasis on digitally-enabled care, strategies to reduce the workload of emergency departments, and grow systems that support greater out-ofhospital care probably reflect at least, in part, the impact of the COVID-19 pandemic on healthcare delivery in the U.K. While we think we know what high-quality care looks and feels like in our daily work as healthcare professionals, this is actually highly contextual and more subjective than it appears, and may be viewed very differently by the community, patients and families, funders, health departments, and politicians. The practices of radiology and radiation oncology are the crossroads of multiple disciplines in healthcare, and radiology, in particular, spans the community– specialist care divide. Both specialties are highly technology-",0.0
